seed,fold,fusion_training,subset,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss
42,3,in_sample,f1_f2_f3,63,0.5238095238095238,0.5241935483870968,0.5236895161290323,0.977919278418373
42,3,inner_oof,f1,63,0.5238095238095238,0.5216733870967742,0.5138888888888888,0.6918383434843854
42,3,inner_oof,f2,63,0.36507936507936506,0.36441532258064513,0.36363636363636365,0.7016389831044323
42,3,inner_oof,f3,63,0.5714285714285714,0.5720766129032258,0.5709962168978562,0.6706681409654536
42,3,inner_oof,f1_f2,63,0.4603174603174603,0.4591733870967742,0.4568965517241379,0.7005066804586864
42,3,inner_oof,f1_f3,63,0.5873015873015873,0.5882056451612903,0.5863636363636364,0.6720665494647815
42,3,inner_oof,f2_f3,63,0.5873015873015873,0.5877016129032258,0.5871975806451613,0.6750089960468718
42,3,inner_oof,f1_f2_f3,63,0.5873015873015873,0.5877016129032258,0.5871975806451613,0.6779892380195516
42,4,in_sample,f1,63,0.5238095238095238,0.5241935483870968,0.5236895161290323,0.6996101632027255
42,4,in_sample,f2,63,0.47619047619047616,0.47580645161290325,0.4756620428751577,0.8814381058871341
42,4,in_sample,f3,63,0.6031746031746031,0.6028225806451613,0.6027742749054225,0.6622929427999471
42,4,in_sample,f1_f2,63,0.47619047619047616,0.47580645161290325,0.4756620428751577,0.8798962345070931
42,4,in_sample,f1_f3,63,0.6190476190476191,0.6184475806451613,0.6181818181818182,0.6590578671686549
42,4,in_sample,f2_f3,63,0.6190476190476191,0.6194556451612903,0.6189516129032258,0.7926422557736369
42,4,in_sample,f1_f2_f3,63,0.6190476190476191,0.6189516129032258,0.6189516129032258,0.7947568201294952
42,4,inner_oof,f1,63,0.49206349206349204,0.48689516129032256,0.4285714285714286,0.6932077972740034
42,4,inner_oof,f2,63,0.5079365079365079,0.5065524193548387,0.5034324942791761,0.6943408609300029
42,4,inner_oof,f3,63,0.6190476190476191,0.6179435483870968,0.6166328600405679,0.672118547052327
42,4,inner_oof,f1_f2,63,0.47619047619047616,0.4742943548387097,0.4676056338028169,0.6951197213785912
42,4,inner_oof,f1_f3,63,0.5555555555555556,0.5539314516129032,0.55,0.6688574654360169
42,4,inner_oof,f2_f3,63,0.6507936507936508,0.6507056451612903,0.6507056451612903,0.6752937801958718
42,4,inner_oof,f1_f2_f3,63,0.6190476190476191,0.6184475806451613,0.6181818181818182,0.6720585705879258
42,5,in_sample,f1,62,0.532258064516129,0.532258064516129,0.5311603650586701,0.7497630644113431
42,5,in_sample,f2,62,0.4838709677419355,0.4838709677419355,0.48171368861024033,0.7401757323213083
42,5,in_sample,f3,62,0.6612903225806451,0.6612903225806451,0.6612021857923497,0.7339779617374753
42,5,in_sample,f1_f2,62,0.5806451612903226,0.5806451612903225,0.5802083333333333,0.7545406324501932
42,5,in_sample,f1_f3,62,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.733596262054266
42,5,in_sample,f2_f3,62,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.7266686227707787
42,5,in_sample,f1_f2_f3,62,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.7227278047951395
42,5,inner_oof,f1,62,0.532258064516129,0.532258064516129,0.5311603650586701,0.6937713937911016
42,5,inner_oof,f2,62,0.5161290322580645,0.5161290322580645,0.4901315789473684,0.6897927671461326
42,5,inner_oof,f3,62,0.6612903225806451,0.6612903225806451,0.6612021857923497,0.655331310488503
42,5,inner_oof,f1_f2,62,0.5161290322580645,0.5161290322580645,0.515625,0.6923940139370982
